,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
lactuca sativa,lactuca sativa,910,30.5790063,0.5577303002935199,0.5472527472527473,0.17269076305220882,0.0945054945054945,0.42,2170,3421
lactuca sativa,lactuca sativa,960,30.5790063,0.563094209161625,0.5463541666666667,0.16968541468064824,0.09270833333333334,0.44,2170,3421
lactuca sativa,lactuca sativa,1010,30.5790063,0.5671414701146159,0.5455445544554456,0.16696914700544463,0.09108910891089109,0.47,2170,3421
lactuca sativa,lactuca sativa,1060,30.5790063,0.5520864270864271,0.5462264150943397,0.16925734024179617,0.09245283018867924,0.49,2170,3421
lactuca sativa,lactuca sativa,1110,30.5790063,0.5622524752475248,0.5363976511330272,0.16652506372132542,0.09097543225676931,0.51,2170,3421
lactuca sativa,lactuca sativa,1160,23.917150900000003,0.5711015975388265,0.5276130450259059,0.16624257845631893,0.09087340375909593,0.53,2170,3421
lactuca sativa,lactuca sativa,1210,23.917150900000003,0.5788052928084574,0.5191299352289477,0.165961049957663,0.09070255312341917,0.56,2170,3421
lactuca sativa,lactuca sativa,1260,23.917150900000003,0.5798810093133718,0.5070121040371997,0.16554054054054054,0.09048269868955575,0.58,2170,3421
lactuca sativa,lactuca sativa,1310,7.3599853,0.5861743653988649,0.49923650791823876,0.16526138279932545,0.09020761670705751,0.6,2170,3421
lactuca sativa,lactuca sativa,1360,7.3599853,0.5860054658882784,0.48814380905565574,0.1648444070647603,0.08991343055327981,0.63,2170,3421
lactuca sativa,lactuca sativa,1410,7.3599853,0.5911644466103531,0.4809950705008833,0.16456759026028547,0.08957000058573111,0.65,2170,3421
lactuca sativa,lactuca sativa,1460,7.3599853,0.5855414382783096,0.46760030258875507,0.16401673640167366,0.08926950340390792,0.67,2170,3421
lactuca sativa,lactuca sativa,1510,7.3599853,0.5800951953512543,0.455083114361971,0.1634695579649708,0.08898717945228582,0.7,2170,3421
lactuca sativa,lactuca sativa,1560,7.3599853,0.5802034843205575,0.4461505963859725,0.1630615640599002,0.08864659667166631,0.72,2170,3421
lactuca sativa,lactuca sativa,1610,7.3599853,0.5441400949796472,0.41759211011520997,0.1615828524319868,0.08917133039481992,0.74,2170,3421
lactuca sativa,lactuca sativa,1660,5.82,0.5424929511278196,0.4081473526417648,0.1610517666392769,0.0889966551442539,0.76,2170,3421
lactuca sativa,lactuca sativa,1710,5.82,0.5253248607121846,0.391197714354143,0.16,0.08949221909198452,0.79,2170,3421
lactuca sativa,lactuca sativa,1760,5.82,0.5177055198848475,0.37958765932303534,0.15922014622258326,0.08972313665906981,0.81,2170,3421
